scenario,attack,defence,intensity,seed,accuracy,precision,recall,f1,fnr,fpr,auc,tn,fp,fn,tp
attacked,BAGLFA,,0.4,43,0.9782773427633241,0.9876416065911432,0.9686868686868687,0.9780724120346762,0.031313131313131314,0.01212733703890854,0.9905237315040246,1955,24,62,1918
defended,BAGLFA,BAGKCD,0.4,43,0.985855013892397,0.9989626556016598,0.9727272727272728,0.985670419651996,0.02727272727272727,0.001010611419909045,0.9936543300616064,1977,2,54,1926
attacked,BAGLFA,,0.5,43,0.2904773932811316,0.3338677354709419,0.4207070707070707,0.3722905027932961,0.5792929292929293,0.8398180899444164,0.3873734821688334,317,1662,1147,833
defended,BAGLFA,BAGKCD,0.5,43,0.9861076029300329,0.9963898916967509,0.9757575757575757,0.9859658076039807,0.024242424242424242,0.0035371399696816574,0.9966935652635501,1972,7,48,1932
baseline,,,0.0,44,0.9946956302096489,1.0,0.9893832153690597,0.9946632782719188,0.010616784630940344,0.0,0.9989350293919638,1981,0,21,1957
attacked,BOOTLFA,,0.3,44,0.9853498358171255,1.0,0.9706774519716885,0.9851205746536685,0.029322548028311426,0.0,0.9895733431195957,1981,0,58,1920
defended,BOOTLFA,BOOTKCD,0.3,44,0.9916645617580196,1.0,0.9833164812942367,0.9915880703543206,0.016683518705763397,0.0,0.9978343300791289,1981,0,33,1945
attacked,BOOTLFA,,0.4,44,0.977266986612781,1.0,0.9544994944388271,0.9767201241593378,0.0455005055611729,0.0,0.9851417076993828,1981,0,90,1888
defended,BOOTLFA,BOOTKCD,0.4,44,0.9886334933063905,1.0,0.9772497472194136,0.9884939913065713,0.02275025278058645,0.0,0.9983358079714824,1981,0,45,1933
attacked,BOOTLFA,,0.5,44,0.67542308663804,1.0,0.35035389282103135,0.5189067764882066,0.6496461071789686,0.0,0.660768452982811,1981,0,1285,693
defended,BOOTLFA,BOOTKCD,0.5,44,0.9888860823440263,1.0,0.9777553083923155,0.9887525562372189,0.022244691607684528,0.0,0.9979190581505087,1981,0,44,1934
attacked,BAGLFA,,0.3,44,0.9861076029300329,1.0,0.9721941354903944,0.9859010510125609,0.027805864509605663,0.0,0.9969204408513844,1981,0,55,1923
defended,BAGLFA,BAGKCD,0.3,44,0.9883809042687547,1.0,0.9767441860465116,0.988235294117647,0.023255813953488372,0.0,0.9986966678899495,1981,0,46,1932
attacked,BAGLFA,,0.4,44,0.9732255620106087,1.0,0.9464105156723963,0.9724675324675325,0.05358948432760364,0.0,0.9907789317015183,1981,0,106,1872
defended,BAGLFA,BAGKCD,0.4,44,0.9861076029300329,1.0,0.9721941354903944,0.9859010510125609,0.027805864509605663,0.0,0.9962604806327452,1981,0,55,1923
attacked,BAGLFA,,0.5,44,0.35817125536751704,0.41718152397764047,0.7168857431749242,0.5274316533382927,0.28311425682507585,1.0,0.3822042467138524,0,1981,560,1418
defended,BAGLFA,BAGKCD,0.5,44,0.9871179590805759,1.0,0.9742163801820021,0.9869398207426376,0.02578361981799798,0.0,0.9987288237242683,1981,0,51,1927
