scenario,attack,defence,intensity,seed,accuracy,precision,recall,f1,fnr,fpr,auc,tn,fp,fn,tp
defended,BOOTLFA,BOOTKCD,0.3,43,0.9853498358171255,0.9968976215098242,0.9737373737373738,0.9851814001021972,0.026262626262626262,0.003031834259727135,0.9961849418898433,1973,6,52,1928
attacked,BOOTLFA,,0.4,43,0.501136650669361,1.0,0.0025252525252525255,0.005037783375314861,0.9974747474747475,0.0,0.991496062188331,1979,0,1975,5
defended,BOOTLFA,BOOTKCD,0.4,43,0.9873705481182117,0.9979360165118679,0.9767676767676767,0.9872383869321081,0.023232323232323233,0.00202122283981809,0.9968012617330455,1975,4,46,1934
attacked,BOOTLFA,,0.5,43,0.4998737054811821,0.0,0.0,0.0,1.0,0.0,0.2646714747270584,1979,0,1980,0
defended,BOOTLFA,BOOTKCD,0.5,43,0.9856024248547613,0.9979285344381149,0.9732323232323232,0.9854257223216569,0.026767676767676767,0.00202122283981809,0.9967555800552264,1975,4,53,1927
attacked,BAGLFA,,0.3,43,0.5026521848951756,1.0,0.005555555555555556,0.011049723756906079,0.9944444444444445,0.0,0.9985088377458261,1979,0,1969,11
defended,BAGLFA,BAGKCD,0.3,43,0.9866127810053044,0.9984480082772892,0.9747474747474747,0.9864554050600562,0.025252525252525252,0.0015159171298635675,0.9964592871616621,1976,3,50,1930
attacked,BAGLFA,,0.4,43,0.5018944177822683,1.0,0.00404040404040404,0.008048289738430582,0.9959595959595959,0.0,0.9979672929395011,1979,0,1972,8
defended,BAGLFA,BAGKCD,0.4,43,0.9856024248547613,1.0,0.9712121212121212,0.9853958493466564,0.02878787878787879,0.0,0.9967341428432889,1979,0,57,1923
attacked,BAGLFA,,0.5,43,0.4998737054811821,0.0,0.0,0.0,1.0,0.0,0.2226241699460497,1979,0,1980,0
defended,BAGLFA,BAGKCD,0.5,43,0.9873705481182117,0.9989658738366081,0.9757575757575757,0.9872253449156873,0.024242424242424242,0.001010611419909045,0.9965095625277536,1977,2,48,1932
baseline,,,0.0,44,0.9946956302096489,1.0,0.9893832153690597,0.9946632782719188,0.010616784630940344,0.0,0.9989350293919638,1981,0,21,1957
attacked,BOOTLFA,,0.3,44,0.5221015407931295,1.0,0.043478260869565216,0.08333333333333333,0.9565217391304348,0.0,0.9987275476990969,1981,0,1892,86
defended,BOOTLFA,BOOTKCD,0.3,44,0.984844657741854,1.0,0.9696663296258847,0.9845995893223819,0.030333670374115267,0.0,0.9987671044794098,1981,0,60,1918
attacked,BOOTLFA,,0.4,44,0.5056832533468048,1.0,0.010616784630940344,0.02101050525262631,0.9893832153690597,0.0,0.9986190855595294,1981,0,1957,21
defended,BOOTLFA,BOOTKCD,0.4,44,0.9850972467794897,1.0,0.9701718907987866,0.9848601488324352,0.029828109201213347,0.0,0.998779354321055,1981,0,59,1919
attacked,BOOTLFA,,0.5,44,0.5003788835564537,0.0,0.0,0.0,1.0,0.0,0.9864759196185807,1981,0,1978,0
defended,BOOTLFA,BOOTKCD,0.5,44,0.9861076029300329,1.0,0.9721941354903944,0.9859010510125609,0.027805864509605663,0.0,0.9987163186775888,1981,0,55,1923
attacked,BAGLFA,,0.3,44,0.5087143217984339,1.0,0.016683518705763397,0.03281949278965689,0.9833164812942367,0.0,0.998794921828146,1981,0,1945,33
defended,BAGLFA,BAGKCD,0.3,44,0.9863601919676686,1.0,0.9726996966632963,0.9861609431060994,0.027300303336703743,0.0,0.9987196363430344,1981,0,54,1924
attacked,BAGLFA,,0.4,44,0.5006314725940895,1.0,0.0005055611729019212,0.001010611419909045,0.9994944388270981,0.0,0.997029923811089,1981,0,1977,1
defended,BAGLFA,BAGKCD,0.4,44,0.9878757261934832,1.0,0.9757330637007078,0.9877175025588536,0.024266936299292215,0.0,0.9987198915480686,1981,0,48,1930
attacked,BAGLFA,,0.5,44,0.5003788835564537,0.0,0.0,0.0,1.0,0.0,0.9864759196185807,1981,0,1978,0
defended,BAGLFA,BAGKCD,0.5,44,0.9863601919676686,1.0,0.9726996966632963,0.9861609431060994,0.027300303336703743,0.0,0.9987232092135142,1981,0,54,1924
