scenario,attack,defence,intensity,seed,accuracy,precision,recall,f1,fnr,fpr,auc,tn,fp,fn,tp
defended,BAGLFA,BAGKCD,0.3,43,0.9802980550644103,1.0,0.9606060606060606,0.9799072642967543,0.03939393939393939,0.0,0.9932633561486518,1979,0,78,1902
attacked,BAGLFA,,0.4,43,0.9782773427633241,0.9876416065911432,0.9686868686868687,0.9780724120346762,0.031313131313131314,0.01212733703890854,0.9905237315040246,1955,24,62,1918
defended,BAGLFA,BAGKCD,0.4,43,0.9757514523869664,0.9994697773064687,0.952020202020202,0.975168132436627,0.047979797979797977,0.0005053057099545225,0.9887311722582061,1978,1,95,1885
attacked,BAGLFA,,0.5,43,0.2904773932811316,0.3338677354709419,0.4207070707070707,0.3722905027932961,0.5792929292929293,0.8398180899444164,0.3873734821688334,317,1662,1147,833
defended,BAGLFA,BAGKCD,0.5,43,0.8095478656226319,0.8089717741935484,0.8106060606060606,0.8097880928355196,0.1893939393939394,0.19151086407276402,0.9299745815915599,1600,379,375,1605
baseline,,,0.0,44,0.9946956302096489,1.0,0.9893832153690597,0.9946632782719188,0.010616784630940344,0.0,0.9989350293919638,1981,0,21,1957
attacked,BOOTLFA,,0.3,44,0.9853498358171255,1.0,0.9706774519716885,0.9851205746536685,0.029322548028311426,0.0,0.9895733431195957,1981,0,58,1920
defended,BOOTLFA,BOOTKCD,0.3,44,0.9856024248547613,0.999479979199168,0.9716885743174924,0.9853883619584721,0.028311425682507583,0.0005047955577990914,0.9941856637040765,1980,1,56,1922
attacked,BOOTLFA,,0.4,44,0.977266986612781,1.0,0.9544994944388271,0.9767201241593378,0.0455005055611729,0.0,0.9851417076993828,1981,0,90,1888
defended,BOOTLFA,BOOTKCD,0.4,44,0.9515029047739328,0.9917400881057269,0.91051567239636,0.9493937796520823,0.08948432760364004,0.00757193336698637,0.9836375292273566,1966,15,177,1801
attacked,BOOTLFA,,0.5,44,0.67542308663804,1.0,0.35035389282103135,0.5189067764882066,0.6496461071789686,0.0,0.660768452982811,1981,0,1285,693
defended,BOOTLFA,BOOTKCD,0.5,44,0.8805253851982824,0.9845460399227302,0.7730030333670375,0.8660436137071651,0.2269969666329626,0.012115093387178193,0.954004907082399,1957,24,449,1529
attacked,BAGLFA,,0.3,44,0.9861076029300329,1.0,0.9721941354903944,0.9859010510125609,0.027805864509605663,0.0,0.9969204408513844,1981,0,55,1923
defended,BAGLFA,BAGKCD,0.3,44,0.9818135892902248,1.0,0.9635995955510617,0.9814624098867147,0.03640040444893832,0.0,0.9928430300187474,1981,0,72,1906
attacked,BAGLFA,,0.4,44,0.9732255620106087,1.0,0.9464105156723963,0.9724675324675325,0.05358948432760364,0.0,0.9907789317015183,1981,0,106,1872
defended,BAGLFA,BAGKCD,0.4,44,0.9694367264460723,0.99892530897367,0.9398382204246714,0.9684813753581661,0.06016177957532862,0.0010095911155981827,0.9911961919325606,1979,2,119,1859
attacked,BAGLFA,,0.5,44,0.35817125536751704,0.41718152397764047,0.7168857431749242,0.5274316533382927,0.28311425682507585,1.0,0.3822042467138524,0,1981,560,1418
defended,BAGLFA,BAGKCD,0.5,44,0.8812831523111897,0.9308571428571428,0.8235591506572295,0.8739270386266094,0.17644084934277046,0.06108026249369006,0.9419485108531045,1860,121,349,1629
