scenario,attack,defence,intensity,seed,accuracy,precision,recall,f1,fnr,fpr,auc,tn,fp,fn,tp
attacked,BAGLFA,,0.4,43,0.9694367264460723,0.9978575254418853,0.9409090909090909,0.9685469196776709,0.05909090909090909,0.00202122283981809,0.9836827088469332,1975,4,117,1863
defended,BAGLFA,BAGKCD,0.4,43,0.9734781510482445,1.0,0.946969696969697,0.9727626459143969,0.05303030303030303,0.0,0.9841686189841824,1979,0,105,1875
attacked,BAGLFA,,0.5,43,0.4364738570346047,0.4659060038033143,0.8661616161616161,0.6059000176647236,0.13383838383838384,0.9934310257705912,0.6752354265239561,13,1966,265,1715
defended,BAGLFA,BAGKCD,0.5,43,0.5001262945188178,0.5001262945188178,1.0,0.6667789190099344,0.0,1.0,0.6691842630447987,0,1979,0,1980
baseline,,,0.0,44,0.9946956302096489,1.0,0.9893832153690597,0.9946632782719188,0.010616784630940344,0.0,0.9989350293919638,1981,0,21,1957
attacked,BOOTLFA,,0.3,44,0.9820661783278606,1.0,0.9641051567239636,0.9817245817245817,0.0358948432760364,0.0,0.9857327625587673,1981,0,71,1907
defended,BOOTLFA,BOOTKCD,0.3,44,0.9563020964890124,1.0,0.9125379170879676,0.9542690985989954,0.08746208291203236,0.0,0.9692615744415221,1981,0,173,1805
attacked,BOOTLFA,,0.4,44,0.9825713564031321,1.0,0.9651162790697675,0.9822485207100593,0.03488372093023256,0.0,0.9910867089728559,1981,0,69,1909
defended,BOOTLFA,BOOTKCD,0.4,44,0.9479666582470321,1.0,0.8958543983822043,0.9450666666666667,0.10414560161779575,0.0,0.9768005863590867,1981,0,206,1772
attacked,BOOTLFA,,0.5,44,0.4516291992927507,0.4743963916158132,0.9039433771486349,0.622237689229163,0.09605662285136501,1.0,0.48533872598584427,0,1981,190,1788
defended,BOOTLFA,BOOTKCD,0.5,44,0.9653953018439,1.0,0.9307381193124368,0.9641267347473161,0.0692618806875632,0.0,0.9912048689037259,1981,0,137,1841
attacked,BAGLFA,,0.3,44,0.989138671381662,0.9964084145715751,0.9817997977755308,0.9890501655207536,0.01820020222446916,0.0035335689045936395,0.9928338426375134,1974,7,36,1942
defended,BAGLFA,BAGKCD,0.3,44,0.968678959333165,1.0,0.9373104145601617,0.9676409185803757,0.06268958543983821,0.0,0.9695440864144662,1981,0,124,1854
attacked,BAGLFA,,0.4,44,0.9563020964890124,1.0,0.9125379170879676,0.9542690985989954,0.08746208291203236,0.0,0.9696454028130741,1981,0,173,1805
defended,BAGLFA,BAGKCD,0.4,44,0.9694367264460723,1.0,0.9388270980788676,0.9684485006518905,0.06117290192113246,0.0,0.9987563858679702,1981,0,121,1857
attacked,BAGLFA,,0.5,44,0.509724677948977,1.0,0.01870576339737108,0.03672456575682382,0.9812942366026289,0.0,0.4941860465116279,1981,0,1941,37
defended,BAGLFA,BAGKCD,0.5,44,0.04470825966153069,0.08202038924930491,0.08948432760364004,0.0855899419729207,0.91051567239636,1.0,0.016940254970245646,0,1981,1801,177
