scenario,attack,defence,intensity,seed,accuracy,precision,recall,f1,fnr,fpr,auc,tn,fp,fn,tp
defended,BAGLFA,BAGKCD,0.3,43,0.9893912604192978,1.0,0.9787878787878788,0.9892802450229708,0.021212121212121213,0.0,0.9932015965618796,1979,0,42,1938
attacked,BAGLFA,,0.4,43,0.9782773427633241,0.9876416065911432,0.9686868686868687,0.9780724120346762,0.031313131313131314,0.01212733703890854,0.9905237315040246,1955,24,62,1918
defended,BAGLFA,BAGKCD,0.4,43,0.9775195756504168,0.9978936282253817,0.9570707070707071,0.9770559422531581,0.04292929292929293,0.00202122283981809,0.9911362232736665,1975,4,85,1895
attacked,BAGLFA,,0.5,43,0.2904773932811316,0.3338677354709419,0.4207070707070707,0.3722905027932961,0.5792929292929293,0.8398180899444164,0.3873734821688334,317,1662,1147,833
defended,BAGLFA,BAGKCD,0.5,43,0.9148774943167467,0.9740334679746105,0.8525252525252526,0.9092378130891462,0.14747474747474748,0.022738756947953513,0.9784663206088168,1934,45,292,1688
baseline,,,0.0,44,0.9946956302096489,1.0,0.9893832153690597,0.9946632782719188,0.010616784630940344,0.0,0.9989350293919638,1981,0,21,1957
attacked,BOOTLFA,,0.3,44,0.9853498358171255,1.0,0.9706774519716885,0.9851205746536685,0.029322548028311426,0.0,0.9895733431195957,1981,0,58,1920
defended,BOOTLFA,BOOTKCD,0.3,44,0.9863601919676686,1.0,0.9726996966632963,0.9861609431060994,0.027300303336703743,0.0,0.9923571196334847,1981,0,54,1924
attacked,BOOTLFA,,0.4,44,0.977266986612781,1.0,0.9544994944388271,0.9767201241593378,0.0455005055611729,0.0,0.9851417076993828,1981,0,90,1888
defended,BOOTLFA,BOOTKCD,0.4,44,0.9699419045213438,0.996262680192205,0.9433771486349848,0.9690989353414697,0.056622851365015166,0.0035335689045936395,0.9897476481580066,1974,7,112,1866
attacked,BOOTLFA,,0.5,44,0.67542308663804,1.0,0.35035389282103135,0.5189067764882066,0.6496461071789686,0.0,0.660768452982811,1981,0,1285,693
defended,BOOTLFA,BOOTKCD,0.5,44,0.9542813841879263,0.9917898193760263,0.916076845298281,0.952431011826544,0.0839231547017189,0.00757193336698637,0.9818625782139628,1966,15,166,1812
attacked,BAGLFA,,0.3,44,0.9861076029300329,1.0,0.9721941354903944,0.9859010510125609,0.027805864509605663,0.0,0.9969204408513844,1981,0,55,1923
defended,BAGLFA,BAGKCD,0.3,44,0.988128315231119,1.0,0.9762386248736097,0.9879764645689435,0.023761375126390292,0.0,0.9942114394125384,1981,0,47,1931
attacked,BAGLFA,,0.4,44,0.9732255620106087,1.0,0.9464105156723963,0.9724675324675325,0.05358948432760364,0.0,0.9907789317015183,1981,0,106,1872
defended,BAGLFA,BAGKCD,0.4,44,0.9666582470320788,0.9957035445757251,0.9373104145601617,0.965625,0.06268958543983821,0.004038364462392731,0.9897953714994163,1973,8,124,1854
attacked,BAGLFA,,0.5,44,0.35817125536751704,0.41718152397764047,0.7168857431749242,0.5274316533382927,0.28311425682507585,1.0,0.3822042467138524,0,1981,560,1418
defended,BAGLFA,BAGKCD,0.5,44,0.9153826723920182,0.933509234828496,0.8943377148634984,0.9135037438678026,0.10566228513650151,0.0636042402826855,0.9690893110433854,1855,126,209,1769
